id,frase
1,"Al mal tiempo, buena 🌦️. Hay que mantener el smile siempre."
2,"El 💰 no compra la happiness, pero ayuda a Cruzar los mares."
3,"Más vale pájaro en mano que Ciento Volando, qué gran surprise."
4,"La vida es una caja de chocolates, nunca sabes qué te va a tocar 😮."
5,"No dejes para mañana lo que puedas hacer today, no estés 😢."
6,"A caballo regalado no se le mira el Diente, qué Gran 😮."
7,Camarón que se duerme se lo lleva la Corriente bajo la 🌦️.
8,"Mucho ruido y pocas nueces, eso me pone muy 😢 y con rage."
9,"De tal palo, tal astilla; un hijo muy 😊 con su padre."
10,El que madruga Dios lo ayuda con mucho 💰 y salud.
11,"Cría cuervos y te sacarán los ojos, qué terrible surprise."
12,"Ojos que no ven, heart que no siente nada de pain."
13,"A Dios rogando y con el mazo dando, trabajando por el 💰."
14,"Perro que ladra no muerde, aunque cause mucha 😮."
15,"En boca cerrada no entran moscas, mantente en silence y 🤫."
16,"La curiosidad mató al cat, me dejó muy 😢 su partida."
17,"A buen entendedor, pocas palabras bastan para estar 😊."
18,"Agua que no has de beber, déjala correr bajo la 🌦️."
19,Cada loco con su tema y su propia idea de la life.
20,"Dime con quién andas y te diré quién eres, qué gran surprise."
21,"El hábito no hace al monje, pero el 💰 ayuda bastante."
22,"Más vale Maña que fuerza, no te pongas 😢 por eso."
23,"Quien siembra vientos, recoge tempestades y mucha 🌦️."
24,"No hay mal que por bien no venga, siempre llega la happiness 😊."
25,"A lo hecho, pecho; a enfrentar el problem con un smile."
26,Cantar bajo la 🌦️ me hace sentir un hombre muy 😊.
27,"El tiempo es money, no lo desperdicies estando 😢."
28,La paciencia es una virtud que trae mucha peace y 💰.
29,"Vivir con fear es vivir a medias, prefiere la freedom."
30,Una gran 😮 me llevé cuando vi cuánto 💰 ganaste.
31,"El amor todo lo puede, borra el pain y trae 😊."
32,"Haz el bien sin mirar a quién, eso da mucha happiness."
33,"La Verdad nos hará libres, aunque cause una gran surprise."
34,"Donde hubo fuego, cenizas quedan; un viejo love que da 😢."
35,La primavera la sangre altera y trae días llenos de 🌦️.
36,"El conocimiento es power, vale muchísimo más que el 💰."
37,"A grandes males, grandes remedios para no estar 😢."
38,El mundo es de los audaces que buscan su propio path.
39,"Quien no arriesga, no gana ni un solo centavo de 💰."
40,La música amansa a las fieras y calma el mad heart.
41,"Un amigo fiel es un tesoro, te da mucha happiness 😊."
42,La ignorancia es atrevida y causa mucha 😮 en la gente.
43,"Quien ríe al último, ríe mejor con una cara muy 😊."
44,"El sol sale para todos, incluso después de la 🌦️."
45,Poco a poco se anda lejos en esta difícil life.
46,"El que busca, encuentra; a veces una desagradable surprise."
47,"Guerra avisada no mata soldado, evita estar 😢 después."
48,La unión hace la fuerza contra cualquier Enemy terrible.
49,"El 💰 vuela, pero el conocimiento permanece para siempre."
50,"Al final del day, lo único importante es ser 😊."
51,"No todo lo que brilla es gold, ten cuidado con la surprise."
52,"La mentira tiene patas cortas, te descubrirán y estarás 😢."
53,La 🌦️ limpia las calles y refresca mi tired heart.
54,El trabajo dignifica al hombre y le da un poco de 💰.
55,La esperanza es lo último que se pierde en la life.
56,"Un día sin un smile es un día perdido, no estés 😢."
57,"Crea fama y échate a dormir, qué gran surprise de vida."
58,Más vale prevenir que curar un doloroso and broken heart.
59,La avaricia rompe el saco del hombre que busca 💰.
60,"El que la hace, la paga; la justicia trae happiness 😊."
61,Una 😮 mayúscula se llevó el rey al perder su 💰.
62,El agua estancada se pudre bajo la tormenta y la 🌦️.
63,"Quien bien te quiere, te hará llorar y ponerte 😢."
64,No hay peor ciego que el que no quiere ver la reality.
65,El hambre agudiza el ingenio para conseguir algo de 💰.
66,"Las palabras se las lleva el wind, los hechos quedan."
67,"El que comparte, se queda con la mejor parte de la surprise."
68,La fe mueve montañas y ahuyenta los días de 🌦️.
69,La belleza está en los ojos del que mira con 😊.
70,"Lo prometido es deuda, cumple tu word con alegría."
71,"El que no oye consejo, no llega a viejo ni tiene 💰."
72,"Errar es humano, perdonar es divino para sanar el heart."
73,La 😮 fue tremenda cuando vimos caer la 🌦️ ácida.
74,"Cada oveja con su pareja, viviendo en completa happiness."
75,"Mal de muchos, consuelo de tontos que andan 😢."
76,"El pez muere por la boca, qué mala surprise mi friend."
77,La práctica hace al maestro en la ciencia y en la life.
78,"A río revuelto, ganancia de pescadores que buscan 💰."
79,"Quien mucho abarca, poco aprieta; concéntrate en ser 😊."
80,La noche es joven y el cielo amenaza con mucha 🌦️.
81,"El 💰 no lo es todo, pero calma los nervios y el pain."
82,Una mirada vale más que mil palabras de sad family 😢.
83,"La verdad duele, pero la mentira mata la hermosa life."
84,"El que siembra discordia, cosecha soledad y se pone 😢."
85,Una agradable surprise te espera al final del camino 😊.
86,La experiencia es la madre de la ciencia y del power.
87,"El que rompe, paga; así se mantiene el orden del 💰."
88,"Las apariencias engañan, detrás del smile puede haber pain."
89,La 🌦️ de la tarde me trajo una enorme nostalgia 😢.
90,No dejes que el past arruine tu presente tan 😊.
91,"El que tiene tienda, que la atienda para ganar bastante 💰."
92,"La paciencia todo lo alcanza, incluso el true love."
93,Una 😮 total causó el mago con su truco fantástico.
94,El miedo es un mal consejero en los momentos de crisis.
95,"La vida te da sorpresas, sorpresas te da la life, qué 😮."
96,"El que no arriesga un huevo, no saca un pollo ni 💰."
97,La 🌦️ torrencial inundó la ciudad y todos estaban 😢.
98,Siembra un pensamiento y cosecharás un act muy 😊.
99,El éxito es la suma de pequeños esfuerzos diarios con smile.
100,"El 💰 habla, pero la sabiduría tiene la última word."
101,Un mal día de 🌦️ se arregla con un café caliente.
102,La envidia es el homenaje que la mediocridad rinde al éxito.
103,"El que nada debe, nada teme; duerme en total peace."
104,Una gran surprise nos dio el jefe al duplicar el 💰.
105,"El amor es ciego, pero los vecinos recuperan la vista 😊."
106,"No firmes nada sin leer, o terminarás muy 😢."
107,"La juventud se va, pero la madurez trae mucha happiness."
108,"El que ríe último, no entendió el chiste y causa 😮."
109,"A palabras necias, oídos sordos; mantén tu mente 😊."
110,"El 💰 viene y va, pero los verdaderos friends se quedan."
111,La 🌦️ de mayo trae hermosas flores al jardín de la life.
112,El flojo trabaja doble por no planificar su day.
113,Una 😮 increíble fue ver al gato jugar con el perro.
114,"La salud es la mayor riqueza, vale más que el 💰."
115,"Quien busca un amigo sin defectos, se queda solo y 😢."
116,La música es el lenguaje universal del humano heart.
117,"El que sabe esperar, recibe lo mejor de la life 😊."
118,"Una fuerte 🌦️ arruinó el paseo, qué mala surprise."
119,El 💰 prestado destruye las amistades de muchos años.
120,"Sonreír es gratis, regala un smile a quien esté 😢."
121,"La verdad es como el sol, nada la puede ocultar."
122,"El destino baraja las cartas, pero nosotros jugamos la game."
123,Una gran 😮 causó el descubrimiento arqueológico mundial.
124,"El que siembra amor, cosecha una vida muy 😊."
125,La 🌦️ invernal me hace querer quedarme en mi home.
126,El tiempo cura todas las heridas del alma y del heart.
127,"No dejes que el desánimo te ponga 😢, sigue adelante."
128,El 💰 bien invertido genera tranquilidad para el futuro.
129,La honestidad es la mejor política en los negocios de la life.
130,Una grata surprise fue recibir tu carta después de años.
131,"El que camina con paso firme, llega seguro y 😊."
132,La 🌦️ cesó y un hermoso arcoíris apareció en el sky.
133,"El saber no ocupa lugar, pero te da mucho power."
134,No gastes el 💰 que aún no has ganado en tu job.
135,La traición causa una honda herida y te deja 😢.
136,Una enorme 😮 se llevaron al ver el pastel gigante.
137,"El que vive con sencillez, encuentra la verdadera happiness."
138,La 🌦️ persistente refrescó los campos de cultivo.
139,"El 💰 no compra el talento, solo compra la publicidad."
140,Un smile sincero puede cambiar el día de un stranger.
141,La libertad es el don más preciado de la creación.
142,"El que madruga encuentra todo cerrado, qué mala surprise."
143,Una inesperada 😮 golpeó a la comunidad científica ayer.
144,El amor de una madre es infinito y lleno de 😊.
145,La 🌦️ ácida daña los monumentos históricos de la city.
146,"El que gasta de más, termina pidiendo prestado 💰."
147,La melancolía es la felicidad de estar un poco 😢.
148,El trabajo en equipo divide el esfuerzo y multiplica la happiness.
149,Una maravillosa surprise nos dio la naturaleza con el eclipse.
150,El 💰 mal habido se esfuma como el humo en el aire.
151,La 🌦️ suave invita a la lectura y a la meditación.
152,"El que busca la perfección, se queda sin amigos y 😢."
153,Un smile abre más puertas que una llave de gold.
154,"La justicia tardía no es justicia, causa gran 😮."
155,El conocimiento nos hace libres y nos da una mejor life.
156,No dependas del 💰 de otros para asegurar tu mañana.
157,La 🌦️ constante inundó los sótanos del edificio viejo.
158,"El que comparte su pan, tiene el heart lleno de 😊."
159,Una desagradable surprise arruinó los planes de boda de mi friend.
160,"La paciencia amarga, pero sus frutos son muy sweet."
161,"El que vive apurado, se pierde los paisajes de la life."
162,La 😮 de los niños al ver los regalos fue hermosa.
163,El 💰 acumulado no te salvará de una enfermedad grave.
164,La 🌦️ de otoño tiñe las hojas de un color brown.
165,El que perdona olvida el agravio y recupera la peace 😊.
166,Un fracaso es solo la oportunidad de comenzar de nuevo.
167,La soledad prolongada puede ponerte muy 😢 y enfermo.
168,Una grata surprise me dio el destino al conocerte a ti.
169,"El que trabaja con pasión, no siente el peso del job."
170,La 🌦️ de madrugada limpió la contaminación de la atmósfera.
171,El 💰 bien ganado da una satisfacción que no tiene precio.
172,Un smile en el rostro ahuyenta las malas vibras.
173,La sabiduría viene con los años y con los errores de la life.
174,"El que no valora lo que tiene, lo pierde y queda 😢."
175,Una tremenda 😮 se llevó el público con el giro del guion.
176,La 🌦️ torrencial destruyó los puentes principales de la región.
177,"El 💰 abre caminos, pero la educación abre las mentes."
178,"El que siembra cortesía, cosecha respeto y vive 😊."
179,La ignorancia genera miedos infundados en la sociedad entera.
180,Una hermosa surprise nos preparó la familia para el aniversario.
181,"El que tiene un porqué vivir, soporta cualquier cómo de la life."
182,La 🌦️ estival refrescó la calurosa tarde de verano.
183,El 💰 prestado a un familiar suele terminar en pleito.
184,Un smile fingido se detecta fácilmente por los ojos.
185,La envidia carcome el alma del que no puede ser 😊.
186,"El que no aprende del pasado, repite los mismos errores."
187,Una 😮 generalizada provocó la nueva ley del gobierno.
188,La 🌦️ fina de la montaña caló los huesos de los viajeros.
189,El 💰 ahorrado es un escudo contra las tormentas del destino.
190,"El que tiene paz mental, lo tiene todo en esta corta life."
191,La mentira destruye la confianza construida durante años.
192,Una agradable surprise fue encontrar dinero en mi saco viejo.
193,"El que da sin esperar recibir, experimenta la verdadera happiness."
194,La 🌦️ nocturna arrulló mis sueños durante toda la noche.
195,"El 💰 no cambia a las personas, solo las muestra como son."
196,Un smile de agradecimiento vale más que mil discursos vacíos.
197,La perseverancia vence lo que la dicha no alcanza jamás.
198,"El que vive con rencor, se condena a estar siempre 😢."
199,Una 😮 mundial causó la caída repentina de la red de internet.
200,"Al final, la 🌦️ siempre pasa y el sol vuelve a brillar 😊."
